發生時間,發生地點,死亡受傷人數,車種,經度,緯度
109年01月01日 14時15分00秒,高雄市小港區沿海二路山明783燈桿號前0.0公尺,死亡1;受傷0,普通重型-機車,120.372052,22.541141
109年01月01日 17時58分00秒,新北市新店區祥和路 / 新北市新店區車子路,死亡1;受傷1,普通重型-機車;大型重型2(250-550C.C.)-機車,121.504547,24.95763
109年01月01日 21時57分00秒,臺中市潭子區東寶里雅潭路二段75號前0.0公尺,死亡1;受傷1,普通重型-機車;普通重型-機車,120.695863,24.216056
109年01月02日 05時40分00秒,彰化縣和美鎮地潭里彰新路6段182號前0.0公尺前,死亡1;受傷1,自用-小貨車(含客、貨兩用);腳踏自行車-慢車,120.508579,24.140725
109年01月02日 08時40分00秒,嘉義縣梅山鄉永興村台3線271.2公里,死亡1;受傷0,自用-小貨車(含客、貨兩用),120.55904,23.565369
109年01月02日 09時00分00秒,雲林縣斗六市大同路34號前,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人;自用-小貨車(含客、貨兩用),120.541703,23.710441
109年01月02日 16時40分00秒,臺中市沙鹿區竹林里中山路前0.0公尺,死亡2;受傷2,租賃車-小客車;普通重型-機車;乘客-人;乘客-人,120.58021,24.242317
109年01月02日 19時21分00秒,新北市板橋區板城路85之1號前0.0公尺,死亡1;受傷0,普通重型-機車;營業用-大貨車;動力機械-其他車,121.448327,24.996772
109年01月02日 22時44分00秒,新北市八里區龍米路2段前0.0公尺,死亡1;受傷0,普通重型-機車,121.435911,25.156852
109年01月03日 02時38分00秒,新北市中和區景平路 / 新北市中和區景安路,死亡1;受傷0,自用-小貨車(含客、貨兩用);行人-人,121.505006,24.993558
109年01月03日 06時10分29秒,臺南市下營區開化里區道南61線口 / 臺南市下營區省道臺19甲線,死亡1;受傷0,自用-小客車,120.27207,23.206481
109年01月03日 07時43分13秒,桃園市龍潭區上華里中正路上華段81號前0.0公尺附近,死亡1;受傷0,普通重型-機車;自用-小客車,121.223038,24.853138
109年01月03日 08時56分00秒,臺北市南港區研究院路2段 / 臺北市南港區研究院路2段,死亡1;受傷0,自用-小客車;行人-人,121.615942,25.04445
109年01月03日 09時10分00秒,桃園市平鎮區快速路一段P276梁柱處附近,死亡1;受傷0,普通重型-機車;自用-小貨車(含客、貨兩用),121.23937,24.900388
109年01月03日 10時29分00秒,臺中市南屯區文山里保安一街前0.0公尺,死亡1;受傷0,自用-小貨車(含客、貨兩用);普通重型-機車;自用-小貨車(含客、貨兩用),120.612124,24.14566
109年01月03日 14時17分00秒,臺中市南屯區文山里向上路五段前0.0公尺,死亡2;受傷1,營業用-曳引車;自用-小貨車(含客、貨兩用);乘客-人,120.608047,24.151047
109年01月03日 16時13分00秒,桃園市大溪區石園路463巷(電桿130號前),死亡1;受傷0,普通重型-機車;營業用-曳引車,121.261532,24.870444
109年01月04日 06時25分00秒,屏東縣屏東市博愛路附近 / 屏東縣屏東市崇武路附近,死亡1;受傷0,自用-小客車;行人-人,120.480737,22.684497
109年01月04日 11時03分25秒,苗栗縣造橋鄉朝楊村台13甲線6.8公里與產業道路口,死亡1;受傷0,自用-大貨車;大型重型1(550C.C.以上)-機車,120.85279,24.626757
109年01月04日 17時52分00秒,臺中市后里區墩南里南村路333巷42之1號前0.0公尺,死亡1;受傷2,普通重型-機車;普通重型-機車;乘客-人,120.71198,24.291861
109年01月04日 22時10分30秒,苗栗縣通霄鎮國道3號 152公里700.0公尺處南側向外側,死亡1;受傷1,營業用-大貨車;自用-小客車;自用-小客車;乘客-人,120.703645,24.489687
109年01月05日 02時30分52秒,新竹縣芎林鄉文山路800號前,死亡1;受傷0,自用-小客車,121.074681,24.783651
